Segunda-feira,UF_Codigo,Municipio_Codigo,Proporcao
2020-12-28,AL,270915,1.0
2020-12-28,AM,130260,2.0
2020-12-28,AM,130290,0.0
2020-12-28,BA,290130,0.0
2020-12-28,BA,291640,1.0
2020-12-28,BA,292270,1.0
2020-12-28,BA,292990,0.0
2020-12-28,MG,310620,2.0
2020-12-28,MG,313130,0.0
2020-12-28,MG,317070,0.0
2020-12-28,MS,500270,0.0
2020-12-28,PA,150420,1.0
2020-12-28,PA,150553,1.0
2020-12-28,PB,250400,1.0
2020-12-28,PE,260410,1.0
2020-12-28,PE,261160,0.3333333333333333
2020-12-28,PR,410690,1.0
2020-12-28,PR,411520,0.0
2020-12-28,RJ,330030,1.0
2020-12-28,RJ,330330,1.0
2020-12-28,RJ,330350,0.0
2020-12-28,RJ,330390,1.0
2020-12-28,RJ,330455,0.2222222222222222
2020-12-28,RJ,330580,0.0
2020-12-28,RS,430460,0.0
2020-12-28,RS,431490,2.0
2020-12-28,RS,431640,0.0
2020-12-28,RS,431740,1.0
2020-12-28,RS,432240,1.0
2020-12-28,SC,420460,0.0
2020-12-28,SC,420820,0.0
2020-12-28,SE,280030,0.0
2020-12-28,SP,350570,0.0
2020-12-28,SP,351360,1.0
2020-12-28,SP,352040,1.0
2020-12-28,SP,352230,0.0
2020-12-28,SP,352340,0.0
2020-12-28,SP,352720,1.0
2020-12-28,SP,354780,0.0
2020-12-28,SP,354990,1.0
2020-12-28,SP,355030,1.0
2020-12-28,SP,355240,2.0
2021-01-04,AC,120001,1.0
2021-01-04,AC,120040,8.0
2021-01-04,AL,270030,1.25
2021-01-04,AL,270140,0.0
2021-01-04,AL,270430,2.0625
2021-01-04,AL,270630,0.0
2021-01-04,AL,270770,0.5
2021-01-04,AL,270800,3.0
2021-01-04,AL,270860,3.0
2021-01-04,AL,270915,1.0
2021-01-04,AM,130010,0.0
2021-01-04,AM,130014,1.0
2021-01-04,AM,130060,1.0
2021-01-04,AM,130063,0.0
2021-01-04,AM,130090,2.0
2021-01-04,AM,130110,7.0
2021-01-04,AM,130120,0.0
2021-01-04,AM,130185,0.0
2021-01-04,AM,130190,7.0
2021-01-04,AM,130230,0.0
2021-01-04,AM,130240,2.0
2021-01-04,AM,130250,0.5555555555555556
2021-01-04,AM,130255,1.75
2021-01-04,AM,130260,0.8046875
2021-01-04,AM,130270,2.0
2021-01-04,AM,130290,0.0
2021-01-04,AM,130300,3.0
2021-01-04,AM,130320,0.0
2021-01-04,AM,130353,1.0
2021-01-04,AM,130356,6.0
2021-01-04,AM,130370,3.0
2021-01-04,AM,130390,1.0
2021-01-04,AM,130426,0.0
2021-01-04,AM,130430,1.0
2021-01-04,AM,130440,2.0
2021-01-04,AP,160030,1.0
2021-01-04,AP,160050,7.0
2021-01-04,BA,290020,0.0
2021-01-04,BA,290290,0.0
2021-01-04,BA,290320,2.0
2021-01-04,BA,290485,0.0
2021-01-04,BA,290600,1.0
2021-01-04,BA,290630,1.0
2021-01-04,BA,290650,1.0
2021-01-04,BA,290830,0.0
2021-01-04,BA,290980,0.0
2021-01-04,BA,290990,0.0
2021-01-04,BA,291005,2.0
2021-01-04,BA,291072,1.0
2021-01-04,BA,291360,2.6666666666666665
2021-01-04,BA,291460,0.0
2021-01-04,BA,291465,0.0
2021-01-04,BA,291470,0.5
2021-01-04,BA,291480,0.5714285714285714
2021-01-04,BA,291640,11.0
2021-01-04,BA,291740,1.0
2021-01-04,BA,291750,0.0
2021-01-04,BA,291800,2.0
2021-01-04,BA,291840,0.16666666666666666
2021-01-04,BA,291920,0.0
2021-01-04,BA,291970,2.0
2021-01-04,BA,292010,1.0
2021-01-04,BA,292050,2.0
2021-01-04,BA,292270,4.0
2021-01-04,BA,292400,2.0
2021-01-04,BA,292480,1.0
2021-01-04,BA,292510,0.0
2021-01-04,BA,292530,1.0
2021-01-04,BA,292740,1.1923076923076923
2021-01-04,BA,292870,0.0
2021-01-04,BA,292920,0.0
2021-01-04,BA,292990,2.0
2021-01-04,BA,293290,2.0
2021-01-04,BA,293330,2.2
2021-01-04,CE,230030,0.0
2021-01-04,CE,230110,0.5
2021-01-04,CE,230310,0.0
2021-01-04,CE,230380,1.0
2021-01-04,CE,230410,0.5
2021-01-04,CE,230420,1.0
2021-01-04,CE,230440,5.083333333333333
2021-01-04,CE,230580,1.0
2021-01-04,CE,230730,2.0
2021-01-04,CE,230750,0.0
2021-01-04,CE,230765,3.0
2021-01-04,CE,230840,0.0
2021-01-04,CE,230850,0.0
2021-01-04,CE,230920,0.0
2021-01-04,CE,231030,0.0
2021-01-04,CE,231120,2.0
2021-01-04,CE,231140,1.5
2021-01-04,CE,231240,2.0
2021-01-04,CE,231290,0.6666666666666666
2021-01-04,CE,231330,5.0
2021-01-04,CE,231400,0.0
2021-01-04,DF,530010,2.4615384615384617
2021-01-04,ES,320120,1.0
2021-01-04,ES,320320,2.0
2021-01-04,ES,320435,0.0
2021-01-04,ES,320500,1.3333333333333333
2021-01-04,ES,320520,0.0
2021-01-04,ES,320530,0.5
2021-01-04,GO,520110,0.7142857142857143
2021-01-04,GO,520140,1.0
2021-01-04,GO,520450,5.0
2021-01-04,GO,520510,8.0
2021-01-04,GO,520549,1.0
2021-01-04,GO,520740,1.0
2021-01-04,GO,520800,1.3333333333333333
2021-01-04,GO,520870,2.7222222222222223
2021-01-04,GO,521090,1.0
2021-01-04,GO,521130,1.0
