Segunda-feira,UF_Codigo,Municipio_Codigo,Dias
2020-12-28,AC,120001,7.0
2020-12-28,AC,120040,33.4
2020-12-28,AL,270030,6.6
2020-12-28,AL,270140,10.5
2020-12-28,AL,270430,33.73170731707317
2020-12-28,AL,270630,5.0
2020-12-28,AL,270670,6.0
2020-12-28,AL,270770,7.0
2020-12-28,AL,270800,7.0
2020-12-28,AL,270860,10.0
2020-12-28,AL,270915,11.0
2020-12-28,AM,130030,15.0
2020-12-28,AM,130040,17.0
2020-12-28,AM,130050,12.0
2020-12-28,AM,130110,12.5
2020-12-28,AM,130120,7.5
2020-12-28,AM,130130,15.0
2020-12-28,AM,130160,10.0
2020-12-28,AM,130185,8.0
2020-12-28,AM,130190,31.1
2020-12-28,AM,130200,10.0
2020-12-28,AM,130230,8.0
2020-12-28,AM,130240,34.0
2020-12-28,AM,130250,9.5
2020-12-28,AM,130255,25.0
2020-12-28,AM,130260,12.768595041322314
2020-12-28,AM,130270,10.461538461538462
2020-12-28,AM,130290,0.0
2020-12-28,AM,130300,14.5
2020-12-28,AM,130330,9.0
2020-12-28,AM,130350,14.5
2020-12-28,AM,130356,7.0
2020-12-28,AM,130370,11.5
2020-12-28,AM,130390,2.0
2020-12-28,AM,130400,10.0
2020-12-28,AM,130410,10.0
2020-12-28,AM,130420,9.0
2020-12-28,AM,130423,7.0
2020-12-28,AM,130430,11.555555555555555
2020-12-28,AM,130440,6.5
2020-12-28,AP,160030,31.625
2020-12-28,AP,160050,13.333333333333334
2020-12-28,BA,290130,0.0
2020-12-28,BA,290290,15.0
2020-12-28,BA,290320,8.0
2020-12-28,BA,290520,13.0
2020-12-28,BA,290570,3.0
2020-12-28,BA,290600,6.0
2020-12-28,BA,290630,0.0
2020-12-28,BA,290710,32.0
2020-12-28,BA,290830,7.5
2020-12-28,BA,290980,9.333333333333334
2020-12-28,BA,291005,5.0
2020-12-28,BA,291072,9.5
2020-12-28,BA,291080,85.2
2020-12-28,BA,291360,6.666666666666667
2020-12-28,BA,291460,12.0
2020-12-28,BA,291470,96.5
2020-12-28,BA,291480,7.25
2020-12-28,BA,291490,3.0
2020-12-28,BA,291550,90.0
2020-12-28,BA,291640,2.727272727272727
2020-12-28,BA,291750,8.0
2020-12-28,BA,291800,10.5
2020-12-28,BA,291840,10.8
2020-12-28,BA,291920,9.75
2020-12-28,BA,291970,1.0
2020-12-28,BA,292010,5.0
2020-12-28,BA,292050,1.0
2020-12-28,BA,292120,6.0
2020-12-28,BA,292170,2.0
2020-12-28,BA,292270,1.0
2020-12-28,BA,292300,8.0
2020-12-28,BA,292400,4.5
2020-12-28,BA,292480,9.0
2020-12-28,BA,292530,18.5
2020-12-28,BA,292740,14.746478873239436
2020-12-28,BA,292870,10.0
2020-12-28,BA,292900,6.666666666666667
2020-12-28,BA,292920,4.5
2020-12-28,BA,292990,0.0
2020-12-28,BA,293050,11.0
2020-12-28,BA,293135,15.0
2020-12-28,BA,293290,3.25
2020-12-28,BA,293330,11.083333333333334
2020-12-28,CE,230110,2.0
2020-12-28,CE,230190,17.333333333333332
2020-12-28,CE,230250,4.0
2020-12-28,CE,230260,5.0
2020-12-28,CE,230410,4.5
2020-12-28,CE,230420,10.0
2020-12-28,CE,230440,17.9390243902439
2020-12-28,CE,230560,4.0
2020-12-28,CE,230730,6.6
2020-12-28,CE,230765,6.333333333333333
2020-12-28,CE,230840,7.0
2020-12-28,CE,231020,36.0
2020-12-28,CE,231120,4.0
2020-12-28,CE,231140,4.0
2020-12-28,CE,231290,39.36363636363637
2020-12-28,CE,231340,11.0
2020-12-28,DF,530010,18.60919540229885
2020-12-28,ES,320120,146.25
2020-12-28,ES,320150,23.0
2020-12-28,ES,320350,0.0
2020-12-28,ES,320435,3.0
2020-12-28,ES,320490,45.0
2020-12-28,ES,320500,10.833333333333334
2020-12-28,ES,320520,3.0
2020-12-28,ES,320530,10.666666666666666
2020-12-28,GO,520110,6.615384615384615
2020-12-28,GO,520140,10.875
2020-12-28,GO,520170,10.0
2020-12-28,GO,520450,14.5
2020-12-28,GO,520510,4.833333333333333
2020-12-28,GO,520549,3.0
2020-12-28,GO,520630,8.0
2020-12-28,GO,520800,29.0
2020-12-28,GO,520870,13.169014084507042
2020-12-28,GO,521040,3.0
2020-12-28,GO,521130,2.0
2020-12-28,GO,521150,10.0
2020-12-28,GO,521180,10.5
2020-12-28,GO,521190,11.333333333333334
2020-12-28,GO,521250,10.0
2020-12-28,GO,521680,143.0
2020-12-28,GO,521800,14.5
2020-12-28,GO,521830,20.0
2020-12-28,GO,521880,4.25
2020-12-28,GO,521930,3.0
2020-12-28,GO,522000,10.0
2020-12-28,GO,522010,7.0
2020-12-28,GO,522040,3.0
2020-12-28,GO,522140,4.0
2020-12-28,GO,522160,11.0
2020-12-28,MA,210060,19.0
2020-12-28,MA,210140,14.0
2020-12-28,MA,210300,4.0
2020-12-28,MA,210460,369.0
2020-12-28,MA,210530,30.333333333333332
2020-12-28,MA,211003,10.0
2020-12-28,MA,211130,19.833333333333332
2020-12-28,MG,310020,2.0
2020-12-28,MG,310090,8.0
2020-12-28,MG,310110,14.0
2020-12-28,MG,310120,11.0
2020-12-28,MG,310150,8.0
2020-12-28,MG,310160,10.0
2020-12-28,MG,310340,12.0
2020-12-28,MG,310350,6.6
2020-12-28,MG,310400,5.5
2020-12-28,MG,310560,7.8
2020-12-28,MG,310620,7.225
2020-12-28,MG,310630,19.0
2020-12-28,MG,310670,16.90909090909091
2020-12-28,MG,310690,5.0
2020-12-28,MG,310740,8.7
2020-12-28,MG,311260,9.0
2020-12-28,MG,311330,10.0
2020-12-28,MG,311340,8.0
2020-12-28,MG,311530,8.166666666666666
2020-12-28,MG,311710,75.0
2020-12-28,MG,311800,14.333333333333334
2020-12-28,MG,311830,6.777777777777778
2020-12-28,MG,311840,185.0
2020-12-28,MG,311860,7.363636363636363
2020-12-28,MG,311940,10.0
2020-12-28,MG,312080,6.0
2020-12-28,MG,312090,17.833333333333332
2020-12-28,MG,312160,66.83333333333333
2020-12-28,MG,312230,8.6
2020-12-28,MG,312390,7.0
2020-12-28,MG,312410,1.0
2020-12-28,MG,312430,9.0
