UF,Evolucao,Quantidade,Por1000Hab
AC,1,4244,4.6798018692743
AC,2,1887,2.08076958702182
AC,3,80,0.08821492684777191
AL,1,14628,4.346649131101035
AL,2,5330,1.5837872483434863
AL,3,229,0.06804639397198092
AM,1,19785,4.633494886996355
AM,2,8544,2.0009391111699193
AM,3,898,0.21030469590713807
AP,1,4230,4.819892139245886
AP,2,1144,1.3035358409686273
AP,3,98,0.11166653183122856
BA,1,53213,3.551017117860429
BA,2,20508,1.3685426315577336
BA,3,1646,0.1098410947700424
CE,1,48030,5.197725683885643
CE,2,19861,2.1493239601843173
CE,3,2574,0.2785539435836279
DF,1,40941,13.230995451350458
DF,2,8395,2.713031113409225
DF,3,1285,0.41527635267788615
ES,1,8694,2.1160966462764588
ES,2,5020,1.221854746297196
ES,3,270,0.06571728715144282
GO,1,52894,7.3396720695463555
GO,2,22097,3.0662217590041556
GO,3,942,0.13071371213205027
MA,1,13317,1.861668145246183
MA,2,7565,1.0575594742650276
MA,3,170,0.023765381444157924
MG,1,197980,9.246250325110921
MG,2,61020,2.849814096566665
MG,3,2866,0.13385065881284927
MS,1,32094,11.30393619584191
MS,2,9863,3.4738805602165126
MS,3,520,0.1831509572455223
MT,1,17926,5.025181975726852
MT,2,6221,1.7439282088026746
MT,3,126,0.035321484376971066
PA,1,27627,3.1476141843273493
PA,2,11876,1.3530628028041987
PA,3,579,0.06596693860084465
PB,1,19630,4.835088505765529
PB,2,8370,2.0616245946641607
PB,3,701,0.17266413869290045
PE,1,30936,3.1975877933512376
PE,2,15510,1.6031350748279576
PE,3,412,0.04258489044675168
PI,1,10649,3.2374767807034344
PI,2,4933,1.499715744127152
PI,3,348,0.10579790775516905
PR,1,133792,11.536295286115505
PR,2,36610,3.1567191642601102
PR,3,5794,0.4995911182115017
RJ,1,95408,5.463327795831144
RJ,2,49627,2.841780233562303
RJ,3,2190,0.12540549925446717
RN,1,11164,3.135159817608062
RN,2,6023,1.6914248998077175
RN,3,659,0.18506541739553142
RO,1,7403,4.078163234501822
RO,2,4859,2.676724997493497
RO,3,254,0.1399234717767747
RR,1,1982,3.0365566489406524
RR,2,1237,1.8951667884659875
RR,3,53,0.08119954712101644
RS,1,85204,7.43060515600486
RS,2,36747,3.2046904801149076
RS,3,1725,0.1504365275586637
SC,1,68007,9.267186783953555
SC,2,18157,2.4742204543097728
SC,3,1448,0.19731625366748642
SE,1,8711,3.7250788334614793
SE,2,4701,2.010285339926807
SE,3,726,0.31045887189680105
SP,1,455249,9.759002589801671
SP,2,145479,3.118578926613254
SP,3,10068,0.2158239514510152
TO,1,6835,4.252306417405403
TO,2,2997,1.8645445988242855
TO,3,505,0.3141791866554101
