Segunda-feira,Evolucao,Quantidade
2020-12-28,1,3285
2020-12-28,2,1433
2020-12-28,3,93
2021-01-04,1,23356
2021-01-04,2,10260
2021-01-04,3,573
2021-01-11,1,20114
2021-01-11,2,8836
2021-01-11,3,557
2021-01-18,1,20181
2021-01-18,2,8407
2021-01-18,3,549
2021-01-25,1,19176
2021-01-25,2,7752
2021-01-25,3,458
2021-02-01,1,23185
2021-02-01,2,9904
2021-02-01,3,569
2021-02-08,1,25286
2021-02-08,2,11267
2021-02-08,3,514
2021-02-15,1,30480
2021-02-15,2,15053
2021-02-15,3,534
2021-02-22,1,33264
2021-02-22,2,17839
2021-02-22,3,539
2021-03-01,1,42469
2021-03-01,2,24773
2021-03-01,3,608
2021-03-08,1,42680
2021-03-08,2,26139
2021-03-08,3,610
2021-03-15,1,41453
2021-03-15,2,25342
2021-03-15,3,599
2021-03-22,1,34191
2021-03-22,2,20098
2021-03-22,3,536
2021-03-29,1,32711
2021-03-29,2,18293
2021-03-29,3,555
2021-04-05,1,31493
2021-04-05,2,16061
2021-04-05,3,561
2021-04-12,1,28706
2021-04-12,2,13366
2021-04-12,3,487
2021-04-19,1,29319
2021-04-19,2,12793
2021-04-19,3,496
2021-04-26,1,30952
2021-04-26,2,12979
2021-04-26,3,504
2021-05-03,1,32179
2021-05-03,2,12649
2021-05-03,3,491
2021-05-10,1,36656
2021-05-10,2,14262
2021-05-10,3,510
2021-05-17,1,36333
2021-05-17,2,13845
2021-05-17,3,505
2021-05-24,1,35242
2021-05-24,2,13010
2021-05-24,3,484
2021-05-31,1,34578
2021-05-31,2,12707
2021-05-31,3,445
2021-06-07,1,29579
2021-06-07,2,10129
2021-06-07,3,425
2021-06-14,1,27247
2021-06-14,2,8840
2021-06-14,3,427
2021-06-21,1,21820
2021-06-21,2,6775
2021-06-21,3,452
2021-06-28,1,22136
2021-06-28,2,6656
2021-06-28,3,459
2021-07-05,1,19958
2021-07-05,2,6020
2021-07-05,3,446
2021-07-12,1,17622
2021-07-12,2,5118
2021-07-12,3,452
2021-07-19,1,16106
2021-07-19,2,5016
2021-07-19,3,455
2021-07-26,1,14881
2021-07-26,2,4792
2021-07-26,3,449
2021-08-02,1,14027
2021-08-02,2,4383
2021-08-02,3,456
2021-08-09,1,13553
2021-08-09,2,4101
2021-08-09,3,434
2021-08-16,1,12302
2021-08-16,2,3723
2021-08-16,3,408
2021-08-23,1,10583
2021-08-23,2,3297
2021-08-23,3,359
2021-08-30,1,10429
2021-08-30,2,3395
2021-08-30,3,361
2021-09-06,1,9787
2021-09-06,2,3064
2021-09-06,3,308
2021-09-13,1,9335
2021-09-13,2,2732
2021-09-13,3,320
2021-09-20,1,9043
2021-09-20,2,2556
2021-09-20,3,308
2021-09-27,1,8608
2021-09-27,2,2409
2021-09-27,3,315
2021-10-04,1,7699
2021-10-04,2,2141
2021-10-04,3,299
2021-10-11,1,7260
2021-10-11,2,1784
2021-10-11,3,288
2021-10-18,1,7231
2021-10-18,2,1711
2021-10-18,3,263
2021-10-25,1,6652
2021-10-25,2,1567
2021-10-25,3,275
2021-11-01,1,6926
2021-11-01,2,1553
2021-11-01,3,259
2021-11-08,1,6266
2021-11-08,2,1375
2021-11-08,3,264
2021-11-15,1,6840
2021-11-15,2,1412
2021-11-15,3,273
2021-11-22,1,6381
2021-11-22,2,1189
2021-11-22,3,238
2021-11-29,1,7099
2021-11-29,2,1327
2021-11-29,3,255
2021-12-06,1,7762
2021-12-06,2,1418
2021-12-06,3,261
2021-12-13,1,9049
2021-12-13,2,1474
2021-12-13,3,272
2021-12-20,1,12646
2021-12-20,2,2330
2021-12-20,3,394
2021-12-27,1,16004
2021-12-27,2,3573
2021-12-27,3,498
2022-01-03,1,19112
2022-01-03,2,5074
2022-01-03,3,597
2022-01-10,1,21814
