UF_Codigo,UF_Nome,Municipio_Codigo,Municipio_Nome
AC,Acre,120001,ACRELANDIA
AC,Acre,120010,BRASILEIA
AC,Acre,120020,CRUZEIRO DO SUL
AC,Acre,120030,FEIJO
AC,Acre,120032,JORDAO
AC,Acre,120033,MANCIO LIMA
AC,Acre,120038,PLACIDO DE CASTRO
AC,Acre,120040,RIO BRANCO
AC,Acre,120045,SENADOR GUIOMARD
AC,Acre,120050,SENA MADUREIRA
AC,Acre,120060,TARAUACA
AC,Acre,120070,XAPURI
AL,Alagoas,270010,AGUA BRANCA
AL,Alagoas,270030,ARAPIRACA
AL,Alagoas,270070,BATALHA
AL,Alagoas,270100,BOCA DA MATA
AL,Alagoas,270130,CAJUEIRO
AL,Alagoas,270140,CAMPO ALEGRE
AL,Alagoas,270190,CHA PRETA
AL,Alagoas,270200,COITE DO NOIA
AL,Alagoas,270230,CORURIPE
AL,Alagoas,270240,DELMIRO GOUVEIA
AL,Alagoas,270270,FELIZ DESERTO
AL,Alagoas,270290,GIRAU DO PONCIANO
AL,Alagoas,270330,INHAPI
AL,Alagoas,270350,JACUIPE
AL,Alagoas,270360,JAPARATINGA
AL,Alagoas,270370,JARAMATAIA
AL,Alagoas,270380,JOAQUIM GOMES
AL,Alagoas,270400,JUNQUEIRO
AL,Alagoas,270430,MACEIO
AL,Alagoas,270450,MARAGOGI
AL,Alagoas,270470,MARECHAL DEODORO
AL,Alagoas,270480,MARIBONDO
AL,Alagoas,270500,MATA GRANDE
AL,Alagoas,270560,NOVO LINO
AL,Alagoas,270630,PALMEIRA DOS INDIOS
AL,Alagoas,270640,PAO DE ACUCAR
AL,Alagoas,270642,PARICONHA
AL,Alagoas,270670,PENEDO
AL,Alagoas,270680,PIACABUCU
AL,Alagoas,270690,PILAR
AL,Alagoas,270730,PORTO CALVO
AL,Alagoas,270760,QUEBRANGULO
AL,Alagoas,270770,RIO LARGO
AL,Alagoas,270800,SANTANA DO IPANEMA
AL,Alagoas,270850,SAO LUIS DO QUITUNDE
AL,Alagoas,270860,SAO MIGUEL DOS CAMPOS
AL,Alagoas,270915,TEOTONIO VILELA
AL,Alagoas,270920,TRAIPU
AL,Alagoas,270930,UNIAO DOS PALMARES
AL,Alagoas,270940,VICOSA
AM,Amazonas,130002,ALVARAES
AM,Amazonas,130006,AMATURA
AM,Amazonas,130008,ANAMA
AM,Amazonas,130010,ANORI
AM,Amazonas,130014,APUI
AM,Amazonas,130020,ATALAIA DO NORTE
AM,Amazonas,130030,AUTAZES
AM,Amazonas,130040,BARCELOS
AM,Amazonas,130050,BARREIRINHA
AM,Amazonas,130060,BENJAMIN CONSTANT
AM,Amazonas,130063,BERURI
AM,Amazonas,130068,BOA VISTA DO RAMOS
AM,Amazonas,130070,BOCA DO ACRE
AM,Amazonas,130080,BORBA
AM,Amazonas,130083,CAAPIRANGA
AM,Amazonas,130090,CANUTAMA
AM,Amazonas,130100,CARAUARI
AM,Amazonas,130110,CAREIRO
AM,Amazonas,130115,CAREIRO DA VARZEA
AM,Amazonas,130120,COARI
AM,Amazonas,130130,CODAJAS
AM,Amazonas,130140,EIRUNEPE
AM,Amazonas,130150,ENVIRA
AM,Amazonas,130160,FONTE BOA
AM,Amazonas,130165,GUAJARA
AM,Amazonas,130170,HUMAITA
AM,Amazonas,130180,IPIXUNA
AM,Amazonas,130185,IRANDUBA
AM,Amazonas,130190,ITACOATIARA
AM,Amazonas,130195,ITAMARATI
AM,Amazonas,130200,ITAPIRANGA
AM,Amazonas,130210,JAPURA
AM,Amazonas,130220,JURUA
AM,Amazonas,130230,JUTAI
AM,Amazonas,130240,LABREA
AM,Amazonas,130250,MANACAPURU
AM,Amazonas,130255,MANAQUIRI
AM,Amazonas,130260,MANAUS
AM,Amazonas,130270,MANICORE
AM,Amazonas,130280,MARAA
AM,Amazonas,130290,MAUES
AM,Amazonas,130300,NHAMUNDA
AM,Amazonas,130310,NOVA OLINDA DO NORTE
AM,Amazonas,130320,NOVO AIRAO
AM,Amazonas,130330,NOVO ARIPUANA
AM,Amazonas,130340,PARINTINS
AM,Amazonas,130350,PAUINI
AM,Amazonas,130353,PRESIDENTE FIGUEIREDO
AM,Amazonas,130356,RIO PRETO DA EVA
AM,Amazonas,130360,SANTA ISABEL DO RIO NEGRO
AM,Amazonas,130370,SANTO ANTONIO DO ICA
AM,Amazonas,130380,SAO GABRIEL DA CACHOEIRA
AM,Amazonas,130390,SAO PAULO DE OLIVENCA
AM,Amazonas,130395,SAO SEBASTIAO DO UATUMA
AM,Amazonas,130400,SILVES
AM,Amazonas,130406,TABATINGA
AM,Amazonas,130410,TAPAUA
AM,Amazonas,130420,TEFE
AM,Amazonas,130423,TONANTINS
AM,Amazonas,130426,UARINI
AM,Amazonas,130430,URUCARA
AM,Amazonas,130440,URUCURITUBA
AP,Amapá,160027,LARANJAL DO JARI
AP,Amapá,160030,MACAPA
AP,Amapá,160040,MAZAGAO
AP,Amapá,160050,OIAPOQUE
AP,Amapá,160060,SANTANA
BA,Bahia,290020,ABARE
BA,Bahia,290030,ACAJUTIBA
BA,Bahia,290035,ADUSTINA
BA,Bahia,290050,ERICO CARDOSO
BA,Bahia,290070,ALAGOINHAS
BA,Bahia,290080,ALCOBACA
BA,Bahia,290100,AMARGOSA
BA,Bahia,290110,AMELIA RODRIGUES
BA,Bahia,290115,AMERICA DOURADA
BA,Bahia,290120,ANAGE
BA,Bahia,290130,ANDARAI
BA,Bahia,290135,ANDORINHA
BA,Bahia,290150,ANGUERA
BA,Bahia,290160,ANTAS
BA,Bahia,290170,ANTONIO CARDOSO
BA,Bahia,290200,ARACATU
BA,Bahia,290210,ARACI
BA,Bahia,290240,AURELINO LEAL
