UF,Quantidade,Por1000Hab
AC,1120,1.2350089758688068
AL,4021,1.1948233631499359
AM,7204,1.6871214134911166
AP,1047,1.1930087635438398
BA,16066,1.0721184863763678
CE,16823,1.8205567183012321
DF,7291,2.3562489395910258
ES,4053,0.9864894993511026
GO,19354,2.6855978605134827
MA,5901,0.8249383288351524
MG,49312,2.3030159411651163
MS,7933,2.79410873813217
MT,6004,1.68309676348678
PA,10620,1.2099635370310367
PB,6489,1.5983132610245805
PE,9115,0.9421390204420912
PI,4269,1.2978484718586687
PR,31110,2.6824783720331062
RJ,41894,2.3989671167884237
RN,4995,1.4027340817764484
RO,4441,2.446457236852978
RR,1093,1.6745491510051127
RS,30842,2.689717903167714
SC,16322,2.224168433950769
SE,3739,1.5989059531985388
SP,122842,2.633318021865873
TO,2726,1.6959454709359367
