Codigo,Ocupacao
010205,OFICIAL DA AERONAUTICA
010210,OFICIAL DO EXERCITO
010215,OFICIAL DA MARINHA
010305,PRACA DA AERONAUTICA
010310,PRACA DO EXERCITO
010315,PRACA DA MARINHA
020105,CORONEL DA POLICIA MILITAR
020110,TENENTE-CORONEL DA POLICIA MILITAR
020115,MAJOR DA POLICIA MILITAR
020205,CAPITAO DA POLICIA MILITAR
020305,PRIMEIRO TENENTE DE POLICIA MILITAR
020310,SEGUNDO TENENTE DE POLICIA MILITAR
021105,SUBTENENTE DA POLICIA MILITAR
021110,SARGENTO DA POLICIA MILITAR
021205,CABO DA POLICIA MILITAR
021210,SOLDADO DA POLICIA MILITAR
030105,CORONEL BOMBEIRO MILITAR
030110,MAJOR BOMBEIRO MILITAR
030115,TENENTE-CORONEL BOMBEIRO MILITAR
030205,CAPITAO BOMBEIRO MILITAR
031105,SUBTENENTE BOMBEIRO MILITAR
031110,SARGENTO BOMBEIRO MILITAR
031205,CABO BOMBEIRO MILITAR
031210,SOLDADO BOMBEIRO MILITAR
111105,SENADOR
111110,DEPUTADO FEDERAL
111115,DEPUTADO ESTADUAL E DISTRITAL
111120,VEREADOR
111205,PRESIDENTE DA REPUBLICA
111220,SECRETARIO - EXECUTIVO
111250,PREFEITO
111255,VICE-PREFEITO
111325,JUIZ DE DIREITO
111330,JUIZ FEDERAL
111345,JUIZ DO TRABALHO
111405,DIRIGENTE DO SERVICO PUBLICO FEDERAL
111410,DIRIGENTE DO SERVICO PUBLICO ESTADUAL E DISTRITAL
111415,DIRIGENTE DO SERVICO PUBLICO MUNICIPAL
111510,ANALISTA DE PLANEJAMENTO E ORCAMENTO - APO
114205,DIRIGENTES DE ENTIDADES DE TRABALHADORES
114305,DIRIGENTE E ADMINISTRADOR DE ORGANIZACAO RELIGIOSA
121010,DIRETOR GERAL DE EMPRESA E ORGANIZACOES (EXCETO DE INTERESSE PUBLICO)
122105,DIRETOR DE PRODUCAO E OPERACOES EM EMPRESA AGROPECUARIA
122120,DIRETOR DE PRODUCAO E OPERACOES EM EMPRESA PESQUEIRA
122405,DIRETOR DE OPERACOES COMERCIAIS (COMERCIO ATACADISTA E VAREJISTA)
122505,DIRETOR DE  PRODUCAO E OPERACOES DE ALIMENTACAO
122520,TURISMOLOGO
122615,DIRETOR DE OPERACOES DE SERVICOS DE TELECOMUNICACOES
122620,DIRETOR DE OPERACOES DE SERVICOS DE TRANSPORTE
122710,DIRETOR DE PRODUTOS BANCARIOS
122735,DIRETOR DE CREDITO IMOBILIARIO
123105,DIRETOR ADMINISTRATIVO
123110,DIRETOR ADMINISTRATIVO E FINANCEIRO
123115,DIRETOR FINANCEIRO
123205,DIRETOR DE RECURSOS HUMANOS
123210,DIRETOR DE RELACOES DE TRABALHO
123305,DIRETOR COMERCIAL
123310,DIRETOR DE MARKETING
123410,DIRETOR DE SUPRIMENTOS NO SERVICO PUBLICO
123605,DIRETOR DE SERVICOS DE INFORMATICA
123805,DIRETOR DE MANUTENCAO
131110,DIRETOR DE SERVICOS SOCIAIS
131120,GERENTE DE SERVICOS SOCIAIS
131205,DIRETOR DE SERVICOS DE SAUDE
131210,GERENTE DE SERVICOS DE SAUDE
131225,SANITARISTA
131305,DIRETOR DE INSTITUICAO EDUCACIONAL DA AREA PRIVADA
