Segunda-feira,Raca,Quantidade
2020-12-28,1,77.0
2020-12-28,2,7.0
2020-12-28,3,2.0
2020-12-28,4,69.0
2021-01-04,1,606.7142857142857
2021-01-04,2,79.71428571428571
2021-01-04,3,13.142857142857142
2021-01-04,4,544.4285714285714
2021-01-04,5,2.857142857142857
2021-01-11,1,1577.142857142857
2021-01-11,2,178.85714285714286
2021-01-11,3,38.142857142857146
2021-01-11,4,1384.0
2021-01-11,5,10.0
2021-01-18,1,1813.5714285714287
2021-01-18,2,194.42857142857142
2021-01-18,3,37.0
2021-01-18,4,1607.857142857143
2021-01-18,5,11.428571428571429
2021-01-25,1,1756.4285714285713
2021-01-25,2,202.42857142857142
2021-01-25,3,43.285714285714285
2021-01-25,4,1609.2857142857142
2021-01-25,5,13.0
2021-02-01,1,1795.857142857143
2021-02-01,2,191.85714285714286
2021-02-01,3,38.57142857142857
2021-02-01,4,1656.7142857142858
2021-02-01,5,11.428571428571429
2021-02-08,1,1861.4285714285713
2021-02-08,2,190.57142857142858
2021-02-08,3,40.42857142857143
2021-02-08,4,1753.0
2021-02-08,5,13.428571428571429
2021-02-15,1,2205.5714285714284
2021-02-15,2,207.0
2021-02-15,3,42.57142857142857
2021-02-15,4,1859.0
2021-02-15,5,9.428571428571429
2021-02-22,1,2848.8571428571427
2021-02-22,2,272.7142857142857
2021-02-22,3,55.57142857142857
2021-02-22,4,2186.5714285714284
2021-02-22,5,8.857142857142858
2021-03-01,1,3471.1428571428573
2021-03-01,2,316.2857142857143
2021-03-01,3,65.42857142857143
2021-03-01,4,2557.4285714285716
2021-03-01,5,11.571428571428571
2021-03-08,1,3992.4285714285716
2021-03-08,2,375.0
2021-03-08,3,79.42857142857143
2021-03-08,4,3115.285714285714
2021-03-08,5,11.142857142857142
2021-03-15,1,4360.142857142857
2021-03-15,2,429.14285714285717
2021-03-15,3,88.14285714285714
2021-03-15,4,3569.714285714286
2021-03-15,5,13.714285714285714
2021-03-22,1,4287.142857142857
2021-03-22,2,437.42857142857144
2021-03-22,3,94.42857142857143
2021-03-22,4,3603.5714285714284
2021-03-22,5,11.142857142857142
2021-03-29,1,3682.0
2021-03-29,2,395.57142857142856
2021-03-29,3,89.71428571428571
2021-03-29,4,3273.0
2021-03-29,5,8.857142857142858
2021-04-05,1,3468.5714285714284
2021-04-05,2,377.42857142857144
2021-04-05,3,81.0
2021-04-05,4,3236.5714285714284
2021-04-05,5,10.714285714285714
2021-04-12,1,3174.4285714285716
2021-04-12,2,357.7142857142857
2021-04-12,3,70.14285714285714
2021-04-12,4,3017.4285714285716
2021-04-12,5,8.714285714285714
2021-04-19,1,2898.5714285714284
2021-04-19,2,308.42857142857144
2021-04-19,3,63.285714285714285
2021-04-19,4,2678.4285714285716
2021-04-19,5,9.285714285714286
2021-04-26,1,2908.0
2021-04-26,2,317.14285714285717
2021-04-26,3,66.57142857142857
2021-04-26,4,2582.8571428571427
2021-04-26,5,8.857142857142858
