Codigo,Unidade
19,POLICLINICA DR JAMACI DE MEDEIROS
35,HOSPITAL MENDO SAMPAIO
221,HOSPITAL SAO SEBASTIAO
396,HOSPITAL DAS CLINICAS
418,HOSPITAL AGAMENON MAGALHAES
426,HOSPITAL OTAVIO DE FREITAS
434,IMIP
477,HOSPITAL OSWALDO CRUZ
531,US 159 POLICLINICA AGAMENON MAGALHAES
566,HOSPITAL MARIA LUCINDA
582,HOSPITAL DE CANCER DE PERNAMBUCO
604,US 169 POLICLINICA AMAURY COUTINHO
655,HOSPITAL DA RESTAURACAO
671,US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES
809,FUNDACAO HEMOPE
930,US 164 CENTRO DE REIDRATACAO E URG PED M CRAVO GAMA
981,HOSPITAL CORREIA PICANCO
1015,US 163 HOSPITAL DE PEDIATRIA HELENA MOURA
1120,REAL HOSPITAL PORTUGUES
1546,HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO
2232,HOSPITAL E MATERNIDADE SANTA IZABEL
2275,HOSPITAL SAO JOSE
2283,HOSPITAL DE CIRURGIA
2372,HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO
2534,HOSPITAL UNIVERSITARIO DE SERGIPE HUSE
2585,HOSPITAL SAO LUCAS
2593,CLINICA SANTA HELENA SUISSA
3077,HOSPITAL DA POLICIA MILITAR
3778,HOSPITAL ESTADUAL DA MULHER
3786,HOSPITAL ARISTIDES MALTEZ
3808,HOSPITAL SAO RAFAEL
3816,HOSPITAL UNIVERSITARIO PROFESSOR EDGARD SANTOS
3832,HOSPITAL SANTA ISABEL
3859,HOSPITAL GERAL ROBERTO SANTOS
3875,HOSPITAL ANA NERY
3913,UNIDADE EMERGENCIA GERCINO COELHO
3980,HOSPITAL ELADIO LASSERRE
4073,HOSPITAL GERAL ERNESTO SIMOES FILHO
4170,MATERNIDADE TSYLLA BALBINO
4251,HOSPITAL PORTUGUES
4278,HOSPITAL MARTAGAO GESTEIRA
4286,HOSPITAL JULIANO MOREIRA
4294,HOSPITAL GERAL DO ESTADO
4340,UPA 24H DR HELIO MACHADO
4456,UNIDADE DE EMERGENCIA PROF HOSANAH D OLIVEIRA
4774,UPA 24H PROF ADROALDO ALBERGARIA
4979,HOSPITAL DE BROTAS
4987,HOSPITAL PROFESSOR CARVALHO LUZ
5363,UNIDADE DE PRONTO ATENDIMENTO DE SAO CAETANO UPA 24H
5428,INSTITUTO COUTO MAIA
7641,ABSJ
7684,HOSPITAL MAGALHAES
8028,HOSPITAL MUNICIPAL ANTONIO GIGLIO
8036,HOSPITAL MATERNIDADE AMADOR AGUIAR
8052,HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO
8087,PRONTO SOCORRO CONRADO CESARINO NUVOLINI
8141,PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA
8494,UPA BANGU
8680,UBS VILA HELENA
8818,DEPARTAMENTO DE VIGILANCIA SAUDE SANTO ANDRE
8923,CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO
9164,UPA SAO FRANCISCO XAVIER
9296,UPA 24 HORAS ALTO DA PONTE
9539,HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO
9601,HOSPITAL PIO XII
9628,HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE
9687,GRUPO DE PEDIATRIA ONCOLOGICA
9709,EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN
9717,SANTA CASA
9725,HOSPITAL REGIONAL DE MATO GROSSO DO SUL
9733,HOSPITAL SAO JULIAO
9768,ASSOCIACAO DE AMPARO A MATERNIDADE E A INFANCIA AAMI
9776,HOSPITAL DO CANCER DR ALFREDO ABRAO
9784,PRONCOR
10049,SESAU UPA DR WALFRIDO ARRUDA CORONEL ANTONINO
10057,SESAU UPA APARECIDA GONCALVES SARAIVA UNIVERSITARIO
10073,SESAU CRS DR ANTONIO PEREIRA TIRADENTES
10081,SESAU UPA DR ALESSANDRO MARTINS DE SOUZA E S VILA ALMEIDA
10103,SESAU CRS DR GUINTER HANS NOVA BAHIA
10111,SESAU CRS DR WALDECK FLETNER DE CASTRO MAIA COOPHAVILA II
10243,SESAU CRS DR JOAO PEREIRA DA ROSA JARDIM AERO RANCHO
10448,SESAU CEDIP HD HOSPITAL DIA
10456,HOSPITAL DE BASE DO DISTRITO FEDERAL
10464,HRAN
10472,HRG
10480,HOSPITAL REGIONAL DE CEILANDIA
10499,HRT HOSPITAL REGIONAL DE TAGUATINGA
10502,HRS
10510,HOSPITAL UNIVERSITARIO DE BRASILIA
10529,HRPL
10537,HOSPITAL MATERNO INFANTIL DR ANTONIO LISBOA
10545,HRBZ
10561,HFA
11150,UBS 1 ASA SUL
11738,HOSPITAL SANTA RITA DE CASSIA
11746,HOSPITAL DA SANTA CASA DE MISERICORDIA DE VITORIA
11800,HOSPITAL INFANTIL NOSSA SENHORA DA GLORIA
11835,PRONTO ATENDIMENTO SAO PEDRO
11991,AFPES
12017,HOSPITAL DA POLICIA MILITAR HPM
12505,HOSPITAL UNIVERSITARIO ANTONIO PEDRO
12513,HOSPITAL MUNICIPAL CARLOS TORTELLY
12521,SES RJ HOSPITAL ESTADUAL AZEVEDO LIMA
12548,HOSPITAL DA POLICIA MILITAR DE NITEROI
12556,HOSPITAL ORENCIO DE FREITAS
12580,POLICLINICA COMUNITARIA DR SERGIO AROUCA
12599,HOSPITAL GETULIO VARGAS FILHO
12637,POLICLINICA COMUNITARIA DA ENGENHOCA
12726,POLICLINICA COMUNITARIA DE ITAIPU
12734,POLICLINICA REGIONAL DO LARGO DA BATALHA
12769,SES RJ INSTITUTO ESTADUAL DE DOENCAS DO TORAX ARY PARREIRAS
13633,HOSPITAL ANGELINA CARON
13838,HOSPITAL SAO LUCAS
13846,HOSPITAL DO ROCIO
14109,HOSPITAL SANTA CASA DE MISERICORDIA
14125,CENTER CLINICAS
14176,PRONTO ATENDIMENTO LAR PARANA
14990,UNIDADE DE PRONTO ATENDIMENTO ALTO MARACANA UPA 24H
15245,HOSPITAL UNIVERSITARIO EVANGELICO MACKENZIE
15318,HNSG
15334,HOSPITAL SANTA CASA DE CURITIBA
15369,COMPLEXO HOSPITALAR DO TRABALHADOR
15407,HOSPITAL UNIVERSITARIO CAJURU
15415,HOSPITAL OSVALDO CRUZ
15423,CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO PARANA
15563,HOSPITAL INFANTIL PEQUENO PRINCIPE
15601,HOSPITAL SAO VICENTE CIC
15644,HOSPITAL ERASTO GAERTNER
15660,HOSPITAL E MATERNIDADE SANTA MADALENA SOFIA
15717,NOSSA SENHORA DE FATIMA HOSPITAL DA MULHER E MATERNIDADE
15962,HOSPITAL SAO LUCAS
16462,CENTRO MEDICO COMUNITARIO BAIRRO NOVO
17108,UMS CAJURU
17396,UPA BOA VISTA
17612,HOSPITAL E MATERNIDADE ITAPERUCU
17663,HOSPITAL REGIONAL DA LAPA SAO SEBASTIAO
17868,POLICLINICA PATO BRANCO
17884,ISSAL
18023,PRONTO ATENDIMENTO MUNICIPAL
18090,FUNDACAO HOSPITALAR PINHAIS
18333,HOSPITAL MUNICIPAL NOSSA SENHORA DA LUZ DOS PINHAIS
18600,HOSPITAL MUNICIPAL DE RIO BRANCO DO SUL
18694,HOSPITAL BOM JESUS
19283,MATERNIDADE CARMELA DUTRA
19305,HOSPITAL FLORIANOPOLIS
19402,IMPERIAL HOSPITAL DE CARIDADE
19445,CEPONSC
20516,US 167 POLICLINICA E MATERNIDADE PROFESSOR BARROS LIMA
21520,UPA VILA LUZITA
22683,UNIDADE DE PRONTO ATENDIMENTO BARREIRO
22810,UNIDADE DE REFERENCIA SECUNDARIA CENTRO SUL
23051,UNIDADE DE PRONTO ATENDIMENTO NORDESTE
23272,UNIDADE DE PRONTO ATENDIMENTO NORTE
23310,UNIDADE DE PRONTO ATENDIMENTO OESTE
23582,UNIDADE DE PRONTO ATENDIMENTO VENDA NOVA
24007,CENTRO DE SAUDE SAO JOSE
24074,HOSPITAL E MATERNIDADE MUNICIPAL CELIA CAMARA
24228,UPA CENTRAL EMILIO PIRES MAGALHAES
24481,SESAU USF CONSELHEIRO DE SAUDE EDNEY A DECAMPOS NOVA BAHIA
24813,SPA CONFORTO JORNALISTA DICLER SIMOES SOARES
25135,HOSPITAL MUNICIPAL SAO JOAO BATISTA
25143,HOSPITAL MUNICIPAL DR MUNIR RAFFUL
25739,GERENCIA DE REGULACAO EPIDEMIOLOGIA E INFORMACAO CENTROSUL
26050,HOSPITAL SANTA CECILIA
26417,HOSPITAL DE CLINICAS SUL
26727,HOSPITAL SEMPER S A
26743,HOSPITAL NOSSA SENHORA APARECIDA
26794,HOSPITAL SOFIA FELDMAN
26808,HOSPITAL EVANGELICO DE BELO HORIZONTE
26824,SOCOR
26840,COMPLEXO HOSPITALAR SAO FRANCISCO
26859,HOSPITAL FELICIO ROCHO
26913,HOSPITAL GALBA VELLOSO
26921,HOSPITAL JOAO XXIII
26948,HOSPITAL INFANTIL JOAO PAULO II
26964,HOSPITAL ALBERTO CAVALCANTI
26972,MATERNIDADE ODETE VALADARES
26999,INSTITUTO RAUL SOARES
27014,SANTA CASA DE BELO HORIZONTE
27022,HOSPITAL JULIA KUBITSCHEK
27030,HOSPITAL GOVERNADOR ISRAEL PINHEIRO
27049,HOSP DAS CLINICAS DA UNIV FED DE MINAS GERAIS EBSERH
27618,UNIDADE DE PRONTO ATENDIMENTO LESTE
27685,HOSPITAL INFANTIL SAO CAMILO UNIMED
27820,HOSPITAL INFANTIL PADRE ANCHIETA
