Segunda-feira,Zona,Quantidade
2020-12-28,1,150.0
2020-12-28,2,5.0
2021-01-04,1,1209.5714285714287
2021-01-04,2,72.57142857142857
2021-01-04,3,6.571428571428571
2021-01-11,1,3138.714285714286
2021-01-11,2,173.0
2021-01-11,3,13.285714285714286
2021-01-18,1,3614.285714285714
2021-01-18,2,200.85714285714286
2021-01-18,3,15.571428571428571
2021-01-25,1,3573.4285714285716
2021-01-25,2,195.85714285714286
2021-01-25,3,10.285714285714286
2021-02-01,1,3693.8571428571427
2021-02-01,2,195.71428571428572
2021-02-01,3,11.571428571428571
2021-02-08,1,3844.8571428571427
2021-02-08,2,203.57142857142858
2021-02-08,3,14.285714285714286
2021-02-15,1,4333.0
2021-02-15,2,232.28571428571428
2021-02-15,3,17.428571428571427
2021-02-22,1,5331.0
2021-02-22,2,296.14285714285717
2021-02-22,3,24.142857142857142
2021-03-01,1,6383.428571428572
2021-03-01,2,346.42857142857144
2021-03-01,3,25.857142857142858
2021-03-08,1,7557.571428571428
2021-03-08,2,395.2857142857143
2021-03-08,3,32.714285714285715
2021-03-15,1,8429.857142857143
2021-03-15,2,443.85714285714283
2021-03-15,3,34.42857142857143
2021-03-22,1,8507.857142857143
2021-03-22,2,471.7142857142857
2021-03-22,3,32.0
2021-03-29,1,7459.285714285715
2021-03-29,2,403.2857142857143
2021-03-29,3,33.0
2021-04-05,1,7250.571428571428
2021-04-05,2,423.42857142857144
2021-04-05,3,37.714285714285715
2021-04-12,1,6626.285714285715
2021-04-12,2,419.85714285714283
2021-04-12,3,30.571428571428573
2021-04-19,1,5969.571428571428
2021-04-19,2,370.42857142857144
2021-04-19,3,31.0
2021-04-26,1,5858.571428571428
2021-04-26,2,376.14285714285717
2021-04-26,3,26.0
2021-05-03,1,5812.571428571428
2021-05-03,2,370.42857142857144
2021-05-03,3,26.142857142857142
2021-05-10,1,6022.857142857143
2021-05-10,2,382.7142857142857
2021-05-10,3,29.285714285714285
2021-05-17,1,6624.714285714285
2021-05-17,2,422.14285714285717
2021-05-17,3,30.0
2021-05-24,1,6872.857142857143
2021-05-24,2,434.42857142857144
2021-05-24,3,30.0
2021-05-31,1,6518.714285714285
2021-05-31,2,397.14285714285717
2021-05-31,3,29.571428571428573
2021-06-07,1,6491.142857142857
2021-06-07,2,396.0
2021-06-07,3,24.714285714285715
2021-06-14,1,5814.142857142857
2021-06-14,2,381.85714285714283
2021-06-14,3,26.714285714285715
2021-06-21,1,5163.857142857143
2021-06-21,2,337.14285714285717
2021-06-21,3,26.571428571428573
2021-06-28,1,4523.571428571428
2021-06-28,2,294.0
2021-06-28,3,25.0
2021-07-05,1,4093.0
2021-07-05,2,274.57142857142856
2021-07-05,3,22.428571428571427
2021-07-12,1,3877.4285714285716
2021-07-12,2,232.57142857142858
2021-07-12,3,22.0
2021-07-19,1,3424.714285714286
2021-07-19,2,200.57142857142858
2021-07-19,3,18.142857142857142
2021-07-26,1,3081.0
2021-07-26,2,183.0
2021-07-26,3,15.857142857142858
2021-08-02,1,2839.4285714285716
2021-08-02,2,159.42857142857142
2021-08-02,3,16.0
2021-08-09,1,2768.4285714285716
2021-08-09,2,152.14285714285714
2021-08-09,3,10.857142857142858
2021-08-16,1,2569.5714285714284
2021-08-16,2,138.85714285714286
2021-08-16,3,12.714285714285714
2021-08-23,1,2336.1428571428573
2021-08-23,2,119.85714285714286
2021-08-23,3,12.714285714285714
2021-08-30,1,2086.1428571428573
2021-08-30,2,109.71428571428571
2021-08-30,3,9.428571428571429
2021-09-06,1,1890.4285714285713
2021-09-06,2,99.57142857142857
2021-09-06,3,12.0
2021-09-13,1,1858.7142857142858
2021-09-13,2,94.28571428571429
2021-09-13,3,9.857142857142858
2021-09-20,1,1778.857142857143
2021-09-20,2,91.28571428571429
2021-09-20,3,12.714285714285714
2021-09-27,1,1721.4285714285713
2021-09-27,2,84.28571428571429
2021-09-27,3,12.285714285714286
2021-10-04,1,1581.7142857142858
2021-10-04,2,86.85714285714286
2021-10-04,3,10.857142857142858
2021-10-11,1,1353.2857142857142
2021-10-11,2,87.28571428571429
2021-10-11,3,11.0
2021-10-18,1,1302.2857142857142
2021-10-18,2,82.42857142857143
2021-10-18,3,10.285714285714286
2021-10-25,1,1321.2857142857142
2021-10-25,2,81.28571428571429
2021-10-25,3,10.714285714285714
2021-11-01,1,1231.4285714285713
2021-11-01,2,80.28571428571429
2021-11-01,3,8.571428571428571
2021-11-08,1,1195.2857142857142
2021-11-08,2,80.42857142857143
2021-11-08,3,10.285714285714286
2021-11-15,1,1186.4285714285713
2021-11-15,2,77.71428571428571
2021-11-15,3,8.857142857142858
2021-11-22,1,1197.142857142857
2021-11-22,2,80.14285714285714
2021-11-22,3,8.428571428571429
2021-11-29,1,1214.5714285714287
2021-11-29,2,83.71428571428571
2021-11-29,3,9.0
2021-12-06,1,1151.4285714285713
2021-12-06,2,74.14285714285714
2021-12-06,3,11.714285714285714
2021-12-13,1,1397.2857142857142
2021-12-13,2,78.71428571428571
2021-12-13,3,11.714285714285714
2021-12-20,1,1590.142857142857
2021-12-20,2,80.0
2021-12-20,3,11.285714285714286
2021-12-27,1,2101.5714285714284
2021-12-27,2,127.85714285714286
2021-12-27,3,11.857142857142858
2022-01-03,1,2840.0
2022-01-03,2,219.85714285714286
2022-01-03,3,20.285714285714285
2022-01-10,1,3265.1428571428573
2022-01-10,2,242.85714285714286
2022-01-10,3,21.571428571428573
2022-01-17,1,3792.8571428571427
2022-01-17,2,272.0
2022-01-17,3,17.714285714285715
2022-01-24,1,3808.0
2022-01-24,2,260.85714285714283
2022-01-24,3,20.285714285714285
2022-01-31,1,3178.1428571428573
2022-01-31,2,251.42857142857142
2022-01-31,3,18.285714285714285
2022-02-07,1,2570.0
2022-02-07,2,212.85714285714286
2022-02-07,3,16.428571428571427
2022-02-14,1,2034.0
2022-02-14,2,155.71428571428572
2022-02-14,3,11.285714285714286
2022-02-21,1,1593.5714285714287
2022-02-21,2,112.42857142857143
2022-02-21,3,9.714285714285714
2022-02-28,1,1211.857142857143
2022-02-28,2,81.42857142857143
2022-02-28,3,8.285714285714286
2022-03-07,1,1123.142857142857
2022-03-07,2,78.71428571428571
2022-03-07,3,10.428571428571429
2022-03-14,1,1038.0
2022-03-14,2,67.57142857142857
2022-03-14,3,9.142857142857142
2022-03-21,1,965.0
2022-03-21,2,68.57142857142857
2022-03-21,3,8.714285714285714
2022-03-28,1,917.2857142857143
2022-03-28,2,62.285714285714285
2022-03-28,3,11.714285714285714
2022-04-04,1,850.8571428571429
2022-04-04,2,53.57142857142857
2022-04-04,3,10.428571428571429
2022-04-11,1,799.4285714285714
2022-04-11,2,47.142857142857146
2022-04-11,3,9.571428571428571
2022-04-18,1,861.5714285714286
2022-04-18,2,45.42857142857143
2022-04-18,3,11.571428571428571
2022-04-25,1,963.5714285714286
2022-04-25,2,57.142857142857146
2022-04-25,3,12.571428571428571
2022-05-02,1,876.7142857142857
2022-05-02,2,56.0
2022-05-02,3,11.142857142857142
2022-05-09,1,1019.2857142857143
2022-05-09,2,55.42857142857143
2022-05-09,3,7.285714285714286
2022-05-16,1,1123.857142857143
2022-05-16,2,66.0
2022-05-16,3,12.571428571428571
2022-05-23,1,1306.5714285714287
2022-05-23,2,82.28571428571429
2022-05-23,3,15.142857142857142
2022-05-30,1,1462.4285714285713
2022-05-30,2,76.42857142857143
2022-05-30,3,12.285714285714286
2022-06-06,1,1535.2857142857142
2022-06-06,2,87.71428571428571
2022-06-06,3,15.714285714285714
2022-06-13,1,1484.5714285714287
2022-06-13,2,92.28571428571429
2022-06-13,3,14.142857142857142
2022-06-20,1,1744.0
2022-06-20,2,99.57142857142857
2022-06-20,3,18.857142857142858
2022-06-27,1,1710.2857142857142
2022-06-27,2,120.42857142857143
2022-06-27,3,16.428571428571427
2022-07-04,1,1603.4285714285713
2022-07-04,2,123.57142857142857
2022-07-04,3,13.0
2022-07-11,1,1445.857142857143
2022-07-11,2,120.14285714285714
2022-07-11,3,15.285714285714286
2022-07-18,1,1182.4285714285713
2022-07-18,2,97.85714285714286
2022-07-18,3,10.857142857142858
2022-07-25,1,949.2857142857143
2022-07-25,2,76.57142857142857
2022-07-25,3,12.428571428571429
2022-08-01,1,846.8571428571429
2022-08-01,2,61.714285714285715
2022-08-01,3,9.142857142857142
2022-08-08,1,787.1428571428571
2022-08-08,2,55.57142857142857
2022-08-08,3,7.571428571428571
2022-08-15,1,775.5714285714286
2022-08-15,2,52.42857142857143
2022-08-15,3,8.571428571428571
